episode,level,reward,steps,epsilon
447,3,-192.00835516535923,90,0.10692863247165257
448,3,-192.98607185411402,94,0.1063939893092943
449,3,-187.19016112861542,66,0.10586201936274783
450,3,-187.84411342391238,74,0.10533270926593409
451,3,-187.05031329075518,72,0.10480604571960442
452,3,-189.19027256216182,94,0.1042820154910064
453,3,-186.5512128420695,67,0.10376060541355137
454,3,-195.11887015546424,96,0.1032418023864836
455,3,-193.99285669992352,92,0.10272559337455119
456,3,-187.0897837151488,71,0.10221196540767843
457,3,-187.26309184672868,71,0.10170090558064004
458,3,-187.04991329075517,71,0.10119240105273684
459,3,-193.61811525265108,90,0.10068643904747315
460,3,-191.49470943880732,93,0.10018300685223579
461,3,-190.91730943880734,85,0.0996820918179746
462,3,-193.68130472572656,110,0.09918368135888474
463,3,-195.5164074876326,136,0.09868776295209031
464,3,-187.81110933152306,65,0.09819432413732986
465,3,-202.28589428461683,184,0.09770335251664321
466,3,-187.4266819350448,68,0.09721483575406
467,3,-197.37612802212757,96,0.09672876157528969
468,3,-201.45271484847825,169,0.09624511776741324
469,3,-211.96925890596776,314,0.09576389217857617
470,3,-202.08234069886,144,0.09528507271768329
471,3,-190.0639976822198,75,0.09480864735409487
472,3,-212.5030409142053,308,0.0943346041173244
473,3,-228.61677624940606,378,0.09386293109673778
474,3,-204.39026444200823,230,0.09339361644125409
475,3,-195.5561962014751,106,0.09292664835904782
476,3,-206.19231893283106,242,0.09246201511725258
477,3,-210.74694745611302,271,0.09199970504166631
478,3,-186.76622851347585,66,0.09153970651645797
479,3,-189.98256564860264,78,0.09108200798387568
480,3,-211.66199079497483,326,0.0906265979439563
481,3,-188.05774403567165,79,0.09017346495423652
482,3,-186.4861126326081,65,0.08972259762946533
483,3,-216.50324256039764,387,0.089273984641318
484,3,-192.2143691606895,128,0.0888276147181114
485,3,-187.1567126326081,74,0.08838347664452084
486,3,-217.92571949957286,343,0.08794155926129824
487,3,-219.01602758666493,348,0.08750185146499175
488,3,-198.93343086871198,195,0.08706434220766679
489,3,-287.2738026234946,838,0.08662902049662846
490,3,-187.0182239851609,69,0.08619587539414532
491,3,-217.29931450991907,334,0.08576489601717459
492,3,-254.12100622691335,608,0.08533607153708872
493,3,-187.84776881960278,78,0.08490939117940327
494,3,-188.10450895631078,69,0.08448484422350626
495,3,-254.00965859088552,864,0.08406242000238873
496,3,-295.66910758733286,951,0.08364210790237678
497,3,-238.93044444090984,710,0.0832238973628649
498,3,-207.53011091655665,2501,0.08280777787605056
499,3,-204.3369775929191,2501,0.08239373898667031
500,3,-208.74267262796494,2501,0.08198177029173696
